traceId,time,lng,lat,sunlit,shadowPercent,bucketStart,bucketEnd,source,cloudCover,sunlightFactor,sunlitEffective,shadowPercentEffective,solarIrradianceWm2,irradianceEffective,durationSeconds,sunlightSeconds,shadowSeconds,irradianceJ
4,2021-11-19T04:00:27.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:00:00.000Z,2021-11-19T04:01:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
4,2021-11-19T04:01:27.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:01:00.000Z,2021-11-19T04:02:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
4,2021-11-19T04:02:27.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:02:00.000Z,2021-11-19T04:03:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,61,0,61,
4,2021-11-19T04:03:28.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:03:00.000Z,2021-11-19T04:04:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
4,2021-11-19T04:04:28.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:04:00.000Z,2021-11-19T04:05:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
4,2021-11-19T04:05:28.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:05:00.000Z,2021-11-19T04:06:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
5,2021-11-19T04:06:28.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:06:00.000Z,2021-11-19T04:07:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
5,2021-11-19T04:07:28.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:07:00.000Z,2021-11-19T04:08:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
5,2021-11-19T04:08:28.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:08:00.000Z,2021-11-19T04:09:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,64,0,64,
5,2021-11-19T04:09:32.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:09:00.000Z,2021-11-19T04:10:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,61,0,61,
5,2021-11-19T04:10:33.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:10:00.000Z,2021-11-19T04:11:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
5,2021-11-19T04:11:33.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:11:00.000Z,2021-11-19T04:12:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
5,2021-11-19T04:12:33.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:12:00.000Z,2021-11-19T04:13:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
5,2021-11-19T04:13:33.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:13:00.000Z,2021-11-19T04:14:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
5,2021-11-19T04:14:33.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:14:00.000Z,2021-11-19T04:15:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
5,2021-11-19T04:15:33.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:15:00.000Z,2021-11-19T04:16:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:16:33.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:16:00.000Z,2021-11-19T04:17:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:17:33.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:17:00.000Z,2021-11-19T04:18:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:18:33.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:18:00.000Z,2021-11-19T04:19:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:19:33.000Z,114.1296292,22.2798684,0,100,2021-11-19T04:19:00.000Z,2021-11-19T04:20:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:20:33.000Z,114.1292576,22.2806829,0,100,2021-11-19T04:20:00.000Z,2021-11-19T04:21:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:21:33.000Z,114.1288861,22.2820784,1,0,2021-11-19T04:21:00.000Z,2021-11-19T04:22:00.000Z,fallback_no_buildings,0.980377197265625,0.16667938232421875,0.16667938232421875,83.33206176757812,,,60,10.000762939453125,49.999237060546875,
6,2021-11-19T04:22:33.000Z,114.1288861,22.2820784,1,0,2021-11-19T04:22:00.000Z,2021-11-19T04:23:00.000Z,fallback_no_buildings,0.980377197265625,0.16667938232421875,0.16667938232421875,83.33206176757812,,,60,10.000762939453125,49.999237060546875,
6,2021-11-19T04:23:33.000Z,114.1288861,22.2824857,0,100,2021-11-19T04:23:00.000Z,2021-11-19T04:24:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:24:33.000Z,114.1292576,22.2830666,0,100,2021-11-19T04:24:00.000Z,2021-11-19T04:25:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:25:33.000Z,114.1303724,22.282601,0,100,2021-11-19T04:25:00.000Z,2021-11-19T04:26:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,60,0,60,
6,2021-11-19T04:26:33.000Z,114.130744,22.2838796,0,100,2021-11-19T04:26:00.000Z,2021-11-19T04:27:00.000Z,engine,0.980377197265625,0.16667938232421875,0,100,,,61,0,61,
6,2021-11-19T04:27:34.000Z,114.1318588,22.2857976,1,0,2021-11-19T04:27:00.000Z,2021-11-19T04:28:00.000Z,engine,0.980377197265625,0.16667938232421875,0.16667938232421875,83.33206176757812,,,60,10.000762939453125,49.999237060546875,
6,2021-11-19T04:28:34.000Z,114.1318588,22.2857976,1,0,2021-11-19T04:28:00.000Z,2021-11-19T04:29:00.000Z,engine,0.980377197265625,0.16667938232421875,0.16667938232421875,83.33206176757812,,,48,8.0006103515625,39.9993896484375,
6,2021-11-19T04:29:22.000Z,114.1300008,22.2829498,1,0,2021-11-19T04:29:00.000Z,2021-11-19T04:30:00.000Z,fallback_no_buildings,0.980377197265625,0.16667938232421875,0.16667938232421875,83.33206176757812,,,60,10.000762939453125,49.999237060546875,
